Latitude,Longitude,Extreme_High_Temp_C
37.5833,77.5833,32.83
37.5833,77.75,33.05
37.5833,77.9167,33.18
37.5833,78.0833,33.87
37.5833,78.25,33.82
37.5833,78.4167,34.4
37.5833,78.5833,34.85
37.5833,78.75,35.17
37.5833,78.9167,35.18
37.5833,79.0833,35.33
37.5833,79.25,35.47
37.5833,79.4167,35.23
37.5833,79.5833,34.63
37.5833,79.75,34.88
37.5833,79.9167,34.55
37.5833,80.0833,34.06
37.5833,80.25,33.91
37.5833,80.4167,34.88
37.5833,80.5833,35.13
37.5833,80.75,35.14
37.5833,80.9167,35.15
37.5833,81.0833,35.16
37.5833,81.25,35.22
37.5833,81.4167,35.21
37.5833,81.5833,35.25
37.5833,81.75,35.21
37.5833,81.9167,34.97
37.5833,82.0833,34.79
37.5833,82.25,34.98
37.5833,82.4167,34.98
37.5833,82.5833,34.98
37.5833,82.75,34.56
37.5833,82.9167,34.93
37.5833,83.0833,35.02
37.5833,83.25,35.03
37.5833,83.4167,34.96
37.5833,83.5833,34.78
37.5833,83.75,34.75
37.5833,83.9167,34.31
37.5833,84.0833,34.03
37.5833,84.25,33.31
37.5833,84.4167,33.2
37.5833,84.5833,33.43
37.5833,84.75,33.24
37.5833,84.9167,32.22
37.5833,85.0833,31.49
37.5833,85.25,31.31
37.5833,85.4167,30.43
37.5833,85.5833,30.0
37.5833,85.75,29.27
37.5833,85.9167,26.86
37.5833,86.0833,21.9
37.5833,86.25,17.6
37.5833,86.4167,18.3
37.5833,86.5833,20.33
37.5833,86.75,21.1
37.5833,86.9167,19.28
37.5833,87.0833,19.75
37.5833,87.25,20.0
37.5833,87.4167,17.85
37.5833,87.5833,15.61
37.5833,87.75,13.21
37.5833,87.9167,11.25
37.5833,88.0833,8.81
37.5833,88.25,8.24
37.5833,88.4167,10.38
37.5833,88.5833,12.24
37.5833,88.75,13.81
37.5833,88.9167,15.84
37.5833,89.0833,15.86
37.5833,89.25,14.64
37.5833,89.4167,14.15
37.5833,89.5833,14.54
37.5833,89.75,14.01
37.5833,89.9167,13.43
37.5833,90.0833,14.06
37.5833,90.25,13.32
37.5833,90.4167,13.22
37.5833,90.5833,14.35
37.5833,90.75,12.39
37.5833,90.9167,13.07
37.5833,91.0833,15.94
37.5833,91.25,17.27
37.5833,91.4167,18.9
37.5833,91.5833,20.03
37.5833,91.75,21.44
37.5833,91.9167,22.46
37.5833,92.0833,22.72
37.5833,92.25,23.04
37.5833,92.4167,23.54
37.5833,92.5833,24.3
37.5833,92.75,24.42
37.5833,92.9167,24.55
37.5833,93.0833,24.57
37.5833,93.25,25.0
37.5833,93.4167,25.07
37.5833,93.5833,24.25
37.5833,93.75,24.04
37.5833,93.9167,23.75
37.5833,94.0833,25.35
37.5833,94.25,25.33
37.5833,94.4167,24.9
37.5833,94.5833,24.35
37.5833,94.75,23.77
37.5833,94.9167,22.75
37.5833,95.0833,21.61
37.5833,95.25,21.12
37.5833,95.4167,21.48
37.5833,95.5833,20.85
37.5833,95.75,19.49
37.5833,95.9167,19.5
37.5833,96.0833,19.69
37.5833,96.25,18.77
37.5833,96.4167,17.18
37.5833,96.5833,17.66
37.5833,96.75,17.55
37.5833,96.9167,17.44
37.4167,68.0833,38.66
37.4167,68.25,37.46
37.4167,68.4167,38.97
37.4167,68.5833,38.07
37.4167,68.75,39.6
37.4167,68.9167,40.07
37.4167,69.0833,38.24
37.4167,69.25,36.93
37.4167,69.4167,38.05
37.4167,69.5833,38.38
37.4167,69.75,37.04
37.4167,69.9167,31.57
37.4167,70.0833,30.83
37.4167,70.25,27.83
37.4167,70.4167,24.71
37.4167,70.5833,24.54
37.4167,70.75,23.31
37.4167,70.9167,23.82
37.4167,71.0833,21.6
37.4167,71.25,17.97
37.4167,71.4167,21.66
37.4167,71.5833,23.32
37.4167,71.75,17.83
37.4167,71.9167,13.31
37.4167,72.0833,15.13
37.4167,72.25,18.09
37.4167,72.4167,19.5
37.4167,72.5833,16.14
37.4167,72.75,13.94
37.4167,72.9167,14.62
37.4167,73.0833,16.87
37.4167,73.25,19.17
37.4167,73.4167,18.34
37.4167,73.5833,17.44
37.4167,73.75,17.13
37.4167,73.9167,17.06
37.4167,74.0833,16.23
37.4167,74.25,15.25
37.4167,74.4167,17.18
37.4167,74.5833,18.01
37.4167,74.75,19.45
37.4167,74.9167,17.13
37.4167,75.0833,13.48
37.4167,75.25,14.76
37.4167,75.4167,20.56
37.4167,75.5833,14.27
37.4167,75.75,17.67
37.4167,75.9167,18.34
37.4167,76.0833,18.43
37.4167,76.25,23.74
37.4167,76.4167,17.89
37.4167,76.5833,23.84
37.4167,76.75,26.76
37.4167,76.9167,29.67
37.4167,77.0833,29.03
37.4167,77.25,30.79
37.4167,77.4167,31.08
37.4167,77.5833,32.16
37.4167,77.75,32.14
37.4167,77.9167,31.8
37.4167,78.0833,32.38
37.4167,78.25,33.23
37.4167,78.4167,34.1
37.4167,78.5833,33.72
37.4167,78.75,34.34
37.4167,78.9167,34.96
37.4167,79.0833,35.1
37.4167,79.25,35.13
37.4167,79.4167,34.47
37.4167,79.5833,32.88
37.4167,79.75,33.35
37.4167,79.9167,33.97
37.4167,80.0833,34.32
37.4167,80.25,35.0
37.4167,80.4167,35.04
37.4167,80.5833,35.13
37.4167,80.75,35.07
37.4167,80.9167,35.0
37.4167,81.0833,35.02
37.4167,81.25,35.06
37.4167,81.4167,35.0
37.4167,81.5833,35.06
37.4167,81.75,34.92
37.4167,81.9167,34.85
37.4167,82.0833,34.86
37.4167,82.25,34.84
37.4167,82.4167,34.86
37.4167,82.5833,35.0
37.4167,82.75,34.64
37.4167,82.9167,34.93
37.4167,83.0833,35.06
37.4167,83.25,35.02
37.4167,83.4167,34.75
37.4167,83.5833,34.58
37.4167,83.75,34.23
37.4167,83.9167,33.69
37.4167,84.0833,32.93
37.4167,84.25,31.69
37.4167,84.4167,31.31
37.4167,84.5833,31.67
37.4167,84.75,31.72
37.4167,84.9167,29.9
37.4167,85.0833,29.04
37.4167,85.25,28.84
37.4167,85.4167,27.68
37.4167,85.5833,25.64
37.4167,85.75,21.66
37.4167,85.9167,18.53
37.4167,86.0833,14.43
37.4167,86.25,13.17
37.4167,86.4167,15.05
37.4167,86.5833,14.2
