Latitude,Longitude,Tmax_C
33.5833,70.5833,11.1
33.5833,70.75,12.39
33.5833,70.9167,12.97
33.5833,71.0833,15.19
33.5833,71.25,16.53
33.5833,71.4167,17.2
33.5833,71.5833,17.13
33.5833,71.75,17.43
33.5833,71.9167,18.23
33.5833,72.0833,18.56
33.5833,72.25,17.88
33.5833,72.4167,17.35
33.5833,72.5833,17.14
33.5833,72.75,16.93
33.5833,72.9167,16.87
33.5833,73.0833,16.93
33.5833,73.25,16.67
33.5833,73.4167,16.17
33.5833,73.5833,16.01
33.5833,73.75,14.97
33.5833,73.9167,14.44
33.5833,74.0833,13.0
33.5833,74.25,10.68
33.5833,74.4167,5.14
33.5833,74.9167,1.25
33.5833,75.0833,3.53
33.5833,75.25,4.87
33.4167,69.0833,0.32
33.4167,69.4167,1.74
33.4167,69.5833,3.04
33.4167,69.75,8.12
33.4167,69.9167,11.73
33.4167,70.0833,12.98
33.4167,70.25,13.02
33.4167,70.4167,14.47
33.4167,70.5833,15.26
33.4167,70.75,15.49
33.4167,70.9167,15.49
33.4167,71.0833,16.11
33.4167,71.25,17.46
33.4167,71.4167,18.28
33.4167,71.5833,18.23
33.4167,71.75,18.38
33.4167,71.9167,18.81
33.4167,72.0833,18.63
33.4167,72.25,18.29
33.4167,72.4167,17.9
33.4167,72.5833,17.64
33.4167,72.75,17.38
33.4167,72.9167,17.38
33.4167,73.0833,17.13
33.4167,73.25,16.91
33.4167,73.4167,16.98
33.4167,73.5833,17.05
33.4167,73.75,16.65
33.4167,73.9167,15.41
33.4167,74.0833,13.6
33.4167,74.25,12.76
33.4167,74.4167,10.97
33.4167,74.5833,3.55
33.4167,74.75,5.19
33.4167,74.9167,1.62
33.4167,75.25,3.6
33.4167,75.5833,2.45
33.4167,75.75,5.47
33.4167,75.9167,0.86
33.25,68.9167,0.03
33.25,69.4167,1.62
33.25,69.5833,5.32
33.25,69.75,9.98
33.25,69.9167,11.49
33.25,70.0833,11.55
33.25,70.25,13.5
33.25,70.4167,15.56
33.25,70.5833,16.52
33.25,70.75,16.0
33.25,70.9167,17.04
33.25,71.0833,17.62
33.25,71.25,17.67
33.25,71.4167,17.83
33.25,71.5833,18.24
33.25,71.75,18.61
33.25,71.9167,18.61
33.25,72.0833,18.72
33.25,72.25,18.59
33.25,72.4167,18.33
33.25,72.5833,18.21
33.25,72.75,17.95
33.25,72.9167,17.7
33.25,73.0833,17.33
33.25,73.25,17.38
33.25,73.4167,17.4
33.25,73.5833,17.47
33.25,73.75,17.59
33.25,73.9167,16.13
33.25,74.0833,14.98
33.25,74.25,14.81
33.25,74.4167,14.34
33.25,74.5833,11.91
33.25,74.75,11.12
33.25,74.9167,8.84
33.25,75.0833,9.49
33.25,75.25,9.03
33.25,75.4167,3.92
33.25,75.5833,2.01
33.25,75.75,5.72
33.0833,68.9167,0.14
33.0833,69.4167,1.78
